ward_name,Corporation,ac,year,NDVI_mean,NDBI_mean,LST_mean
24 - Agaram,Central,Shanthinagar,2022,0.4525245257164173,-0.015439437232173617,29.51574351124608
46 - Yamalur,East,Mahadevapura,2022,0.4322974701077944,-0.05198535496023169,29.68429624206833
2 - Akash Ward,North,Yelahanka,2022,0.2690552303336379,0.05543170786540256,31.040777918763563
21 - Kogilu,North,Byatarayanapura,2022,0.29298372904456543,0.06675061593147437,31.550433310102147
25 - Vinayaka Layout,West,Rajarajeshwarinagar,2022,0.28243134841201706,0.01634847041687422,33.48130447737466
16 - Ullal,West,Yeshwanthapura,2022,0.3185305677933066,0.043345632661771105,33.08428962617832
24 - Jnana Bharathi Ward,West,Rajarajeshwarinagar,2022,0.4279755906482957,-0.011933896451208466,32.16427237427608
46 - Cheluvadi Palya,Central,Chamrajapet,2022,0.2212591868255189,0.07773550282256494,34.94566740235268
43 - Devaraj Urs Ward,Central,Chickpet,2022,0.23078539818944513,0.047845155627064956,33.01116074125671
13 - Kodigehalli,North,Byatarayanapura,2022,0.21336011426820836,0.06548377412072903,33.27942818886605
16 - Kotthur,East,K.R. Pura,2022,0.3470122015882162,0.019164080127843226,33.337564849850835
14 - K.R Pura,East,K.R. Pura,2022,0.28886632203995616,0.003727531885860234,33.662846702435914
64 - Shivanagara,West,Rajajinagar,2022,0.17610821934345622,0.06742351257313596,33.92082762310019
36 - Beguru,South,Bangalore South,2022,0.29467743400417745,0.035282718461025625,31.34649072630134
5 - Hoysala Nagara East,East,K.R. Pura,2022,0.20695347143796125,0.06256085657474376,34.92336303417253
7 - Byrasandra,South,Jayanagar,2022,0.3164429478134921,-0.013993670143838035,31.220025955183193
15 - Ramamurthy Nagara,East,K.R. Pura,2022,0.20489084812384747,0.044171526126348885,32.367968368314784
5 - Shivajinagar,Central,Shivajinagar,2022,0.22634257887367792,0.06158799086722614,34.9718784356929
29 - Kormangala West,South,B.T.M Layout,2022,0.397159328480087,-0.02815586722676294,30.360467802510072
41 - V.V Puram,Central,Chickpet,2022,0.21993942440509667,0.04334192582132765,32.36624153710331
8 - Tilak Nagara,South,Jayanagar,2022,0.2859880983885148,0.010179524017839565,31.144818982863747
