ward_name,Corporation,ac,year,NDVI_mean,NDBI_mean,LST_mean
24 - Agaram,Central,Shanthinagar,2021,0.45001748873392694,-0.012468698544491844,30.243869414523218
46 - Yamalur,East,Mahadevapura,2021,0.37998048657269645,-0.013728335239266988,30.5969144519803
2 - Akash Ward,North,Yelahanka,2021,0.23924467170253738,0.06928494471002432,28.297219751385526
21 - Kogilu,North,Byatarayanapura,2021,0.29254757247382174,0.061213774064899924,30.70492606894566
25 - Vinayaka Layout,West,Rajarajeshwarinagar,2021,0.2784189876575369,0.0014613421882404,28.32571999547553
16 - Ullal,West,Yeshwanthapura,2021,0.31864542835697834,0.030254938667450708,30.331032083581462
24 - Jnana Bharathi Ward,West,Rajarajeshwarinagar,2021,0.4059131695209129,0.002336766798891432,27.664277327027275
46 - Cheluvadi Palya,Central,Chamrajapet,2021,0.21357716932627885,0.06541857895081969,31.935925031377515
43 - Devaraj Urs Ward,Central,Chickpet,2021,0.22926492020251046,0.02726981156442059,32.749425296018686
13 - Kodigehalli,North,Byatarayanapura,2021,0.2101920233398204,0.04406483043727998,29.136967396088863
16 - Kotthur,East,K.R. Pura,2021,0.3506511954961334,0.012541267687672006,33.65244020532618
14 - K.R Pura,East,K.R. Pura,2021,0.3431061070040003,-0.042303008253306545,32.195273447714506
64 - Shivanagara,West,Rajajinagar,2021,0.17744213982143092,0.04931319706324236,31.533239411219377
36 - Beguru,South,Bangalore South,2021,0.2947165312332112,0.029483506831729473,31.183165397992642
5 - Hoysala Nagara East,East,K.R. Pura,2021,0.21895194156998715,0.04753697665241516,32.664562053694866
7 - Byrasandra,South,Jayanagar,2021,0.32585004395175854,-0.033835527458024185,27.727649640625874
15 - Ramamurthy Nagara,East,K.R. Pura,2021,0.20455182354346735,0.04063855563251896,32.39102102209447
5 - Shivajinagar,Central,Shivajinagar,2021,0.2180695202136852,0.05183448620611346,29.182368556388706
29 - Kormangala West,South,B.T.M Layout,2021,0.3990990481318343,-0.03746243540853939,28.552874571147406
41 - V.V Puram,Central,Chickpet,2021,0.22090369583857103,0.0280364621011188,29.53063013376126
8 - Tilak Nagara,South,Jayanagar,2021,0.28934612552985867,-0.008844919098326203,28.898432484325305
23 - Jogpalya,Central,Shanthinagar,2021,0.23481743298687777,0.03064950260221585,28.224758306605455
65 - Manjunath Nagara,West,Rajajinagar,2021,0.14682935772880393,0.06081715679342865,31.256239748531765
66 - Sane Guruvana Halli,West,Rajajinagar,2021,0.2141008519235724,0.028266066335526432,29.978458127628844
77 - Maruthi Mandira Ward,West,Govindraj Nagar,2021,0.19090088888104179,0.028537775186147814,32.346200533622486
34 - Subbayanapalya,North,Sarvagnanagar,2021,0.12748780049326652,0.08584009804835462,28.816896595881285
20 - Hemmigepura,West,Yeshwanthapura,2021,0.3690708039411551,0.038703171404137475,28.412525357088427
8 - T.C Palya,East,K.R. Pura,2021,0.36324997673066856,-0.019100670188015274,33.1199833489519
47 - Bellanduru,East,Mahadevapura,2021,0.2029521966591502,0.060081264690313003,31.138554196049395
71 - Thimmenahalli,West,Govindraj Nagar,2021,0.22181725851470596,0.03559680095353519,32.27145276013681
2 - Kadirenahalli,South,Padmanabanagar,2021,0.20616639944602758,0.037203882799224285,33.53065276290309
48 - Mathikere,West,Malleshwaram,2021,0.19093330373698,0.04804763103734113,31.16130207716625
20 - Kodihalli,Central,C.V. Raman Nagar,2021,0.26084304750393844,0.013326162332026558,29.579457617236
71 - Nele Maheshwaramma Temple Ward,North,Dasarahalli,2021,0.14280022247347235,0.06964814346827053,31.525552829281263
34 - Peenya,West,Rajarajeshwarinagar,2021,0.2887226055173785,0.03214307794517884,31.49293633444088
7 - Rajagopala Nagara,West,Dasarahalli,2021,0.1832339506732386,0.06891475900111269,32.51970587697629
93 - Avalahalli,West,Vijayanagar,2021,0.1435571764365184,0.06713043092619912,31.900454548210966
2 - Horamavu,East,K.R. Pura,2021,0.29864430204800974,0.018924739240709157,30.749442160909616
4 - Babusab Palya,East,K.R. Pura,2021,0.200359286905455,0.05714254934002055,31.56795278533317
20 - A Narayanapura,East,K.R. Pura,2021,0.18286926837826303,0.068885305276398,33.73479014752986
27 - Vibhootipura,East,K.R. Pura,2021,0.29056626120091433,0.08390852177927183,32.7911114419262
39 - Gottigere,South,Bangalore South,2021,0.24340440537983934,0.07555176616537751,26.0586907846816
54 - Kengal Hanumanthaiah South,South,Bommanahalli,2021,0.15845960722792424,0.05653236553249669,26.67773690200745
40 - Shakthi Nagar,North,Pulakeshinagar,2021,0.13323750989267608,0.09037793469713243,31.128624302855876
3 - Yelahanka Old Town,North,Yelahanka,2021,0.27760708086132235,0.03368911079684243,29.598858924321107
37 - Jeevanahalli,North,Sarvagnanagar,2021,0.3257899087951972,0.014219128511434788,28.330612047690334
55 - Bhuvaneshwari Nagar,Central,Gandhinagara,2021,0.11644808515335656,0.09930300182690376,33.87957358570698
1 - K Narayanapura,East,K.R. Pura,2021,0.27042753490716215,0.06179584507362329,30.01546113323657
88 - Sangolli Rayanna Ward,West,Vijayanagar,2021,0.10578412839659287,0.09785911174767543,33.968417909368185
87 - K.P Agrahara,West,Vijayanagar,2021,0.13455895000173476,0.08101223775846748,33.16156378193433
4 - Banashankari Temple Ward,South,Padmanabanagar,2021,0.17997584707164818,0.06616990708833052,31.256463305161134
20 - Madiwala,South,B.T.M Layout,2021,0.146612438470872,0.05917976461078058,29.778364278525
39 - Hagaduru,East,Mahadevapura,2021,0.4556795545402866,-0.06938004146514222,27.539963918032306
13 - Krishnaiahnapalya,Central,C.V. Raman Nagar,2021,0.22865102039474378,0.038046896042739364,33.44466773836554
63 - Okalipuram,Central,Gandhinagara,2021,0.18993374947558242,0.061503083037741296,33.521513622584365
39 - Kaval Byrasandra,North,Pulakeshinagar,2021,0.25454204877690007,0.0339255181375048,31.418743117826292
45 - Konanakunte,South,Bangalore South,2021,0.26480588944004,0.04683705256385369,25.907343691979538
5 - Kane Muneshwara Ward,South,Padmanabanagar,2021,0.29167303648924503,-0.01225354415896097,28.87767014672578
58 - Nagashettyhalli,North,Hebbal,2021,0.23802983644942463,0.011700678040134433,30.238374264707925
9 - Hoysala Nagara Central,Central,C.V. Raman Nagar,2021,0.3958086187786495,-0.031920617216665156,27.54570721548845
42 - Aruna Asif Ali Ward,North,Pulakeshinagar,2021,0.141050696807947,0.10431608140678857,29.063270347350674
52 - Talagattapura,South,Yeshwanthapura,2021,0.36621633918959495,0.050508122176438734,25.098485103635944
9 - N.A.L Layout,South,Jayanagar,2021,0.1613305690150493,0.06259838425257241,29.59344311591708
45 - Marathahalli,East,Mahadevapura,2021,0.17260023412228184,0.07311716177807052,32.684948192402615
33 - S.M Krishna Ward,East,Mahadevapura,2021,0.29187421250481,0.035875427467025045,31.637339211092865
9 - Srigandhanagar,West,Dasarahalli,2021,0.1782848265324223,0.06841314155933985,30.972474988595412
13 - Marenahalli South,South,Jayanagar,2021,0.21478451207955335,0.02601861512313483,24.918358163352437
44 - Harinagar,South,Bangalore South,2021,0.2628167698218137,0.02845177134964377,28.6524678711568
102 - Hanumanthanagar,West,Basavanagudi,2021,0.18417607430103927,0.043669075736683986,32.090273086567365
41 - Periyar Nagar,North,Pulakeshinagar,2021,0.11318999305347295,0.12010050188866907,29.681512604464125
25 - L.B Shastri Nagar,East,K.R. Pura,2021,0.18390408996995786,0.07018230933566995,31.25293381600472
59 - Vijaya Bank Layout,South,Bommanahalli,2021,0.34398344292456107,-0.022263862746981774,29.37561748092142
40 - Anjanapura,South,Bangalore South,2021,0.32874952852883077,0.05114257597204244,26.367471741980644
27 - Sri Lakshmi Devi Ward,South,B.T.M Layout,2021,0.16317515841037955,0.0657388925495604,29.743146766955977
35 - Kammanahalli,North,Sarvagnanagar,2021,0.15335187851936288,0.0777227499591965,27.435051686043078
21 - Chikka Adugodi,South,B.T.M Layout,2021,0.24107820147107295,0.03017451511812603,28.43350423533554
18 - Viswamanava Kuvempu Ward,South,B.T.M Layout,2021,0.26586727796750476,-0.0030280213979220092,28.217067005838224
54 - Subedarpalya,West,Malleshwaram,2021,0.18040517240961174,0.061541660429660035,32.627451919364866
51 - Subramanyapura,South,Bangalore South,2021,0.3414618459567811,0.017499573040609256,27.25671694703413
35 - Goraguntepalya,West,Rajarajeshwarinagar,2021,0.281550059038479,0.02759838575974973,32.45772417053398
28 - Kottegepalya,West,Rajarajeshwarinagar,2021,0.3006926701691172,0.0247526583189527,28.848062098222158
3 - Nelagadaranahalli,West,Dasarahalli,2021,0.2717279028326404,0.041705100375044345,31.208381963086147
45 - Kushal Nagar,North,Pulakeshinagar,2021,0.10632003008127436,0.11649204238247197,31.290760504763664
29 - Austin Town,Central,Shanthinagar,2021,0.2776579064762591,0.014886630441780338,29.583195571952313
38 - Nandini Layout,West,Mahalakshmi Layout,2021,0.19728352354796744,0.0359893266293983,30.766674283773703
22 - Bangarappa Nagara,West,Rajarajeshwarinagar,2021,0.3077816319800996,0.0187698257082665,30.250150806707328
5 - Yelahanka Satellite Town,North,Yelahanka,2021,0.3508705386014068,-0.025546459761065475,28.1043650265751
57 - Kuvempu Ward,West,Malleshwaram,2021,0.16334646010587706,0.0667130984869392,31.444826270530278
73 - Dr. Vishnuvardhan Ward,West,Govindraj Nagar,2021,0.24323422528853889,0.009310057846892768,31.89923444784347
107 - Dharmagiri Ward,West,Padmanabanagar,2021,0.25432842864039196,0.007676924426166927,32.33025385820693
27 - Srigandada Kaval,West,Rajarajeshwarinagar,2021,0.28587289391675824,0.049859814824179505,26.800648254766397
25 - Govindapura,North,Sarvagnanagar,2021,0.15018529712768677,0.09323224866141748,31.859287966511534
81 - Nayanda Halli,West,Govindraj Nagar,2021,0.1939401612244817,0.05548154487871403,31.99291176252024
10 - Abdul Kalam Nagar,South,Jayanagar,2021,0.1723977943561626,0.0504409921303198,29.83705382272676
49 - Shivanasamudra Ward,East,Mahadevapura,2021,0.25148942414584113,0.019153858077768794,30.005688327032843
62 - Devarachikkanahalli,South,Bommanahalli,2021,0.18342535464613913,0.053693963461728694,32.78610509231515
17 - Kaggadasapura,Central,C.V. Raman Nagar,2021,0.2768711129081457,0.015103177233662049,31.420342153981167
43 - Bheereshwara Nagar,South,Bangalore South,2021,0.1498334869967075,0.06691602700489972,27.180355620184454
42 - RBI Layout,South,Bangalore South,2021,0.2725303613048989,-0.005344400576170078,27.753268816854813
1 - Ramaswamy Palya,Central,Shivajinagar,2021,0.24576722845721843,0.03713718004266302,28.402088816073356
28 - Byrathi,East,Mahadevapura,2021,0.27797934006050806,0.06664989069879944,31.592525471631568
72 - Dasarahalli,North,Dasarahalli,2021,0.13444467350235106,0.06943984299142056,30.49787226056254
69 - Agrahara Dasarahalli,West,Govindraj Nagar,2021,0.19503591897248526,0.04254997380834578,31.295165249662297
97 - Srinivasa Nagara,West,Basavanagudi,2021,0.1386679757732824,0.05845752416800786,32.86721979992349
16 - Amruthahalli,North,Byatarayanapura,2021,0.23987824646180295,0.03503220144494865,30.579176806822037
1 - Padmanabhanagara,South,Padmanabanagar,2021,0.20062382633495449,0.037779725785367986,32.960962739327876
86 - Vidyaranyanagara,West,Vijayanagar,2021,0.11047267228664852,0.08702666398985247,33.13554954358465
4 - Sampangirama Nagar,Central,Shivajinagar,2021,0.4429496189111793,-0.0761165336305706,30.080959707141254
8 - Halasuru,Central,Shivajinagar,2021,0.17874902788696193,0.058145546580677984,28.69034668574344
