ward_name,Corporation,ac,year,NDVI_mean,NDBI_mean,LST_mean
18 - Viswamanava Kuvempu Ward,South,B.T.M Layout,2020,0.262446210581897,-5.934360515985886E-4,36.07798383045269
54 - Subedarpalya,West,Malleshwaram,2020,0.1828703472978775,0.0598105337220403,39.538003472801556
51 - Subramanyapura,South,Bangalore South,2020,0.30862325405056895,0.06308010235746121,35.42291256785579
35 - Goraguntepalya,West,Rajarajeshwarinagar,2020,0.25943170794645287,0.04936852892781473,39.040806272943954
28 - Kottegepalya,West,Rajarajeshwarinagar,2020,0.2798202974142072,0.04476700344495758,39.02714993955662
3 - Nelagadaranahalli,West,Dasarahalli,2020,0.2645295129823112,0.050206833236797706,39.935526456567565
45 - Kushal Nagar,North,Pulakeshinagar,2020,0.1068884319636415,0.12561493688759198,41.31636303743132
29 - Austin Town,Central,Shanthinagar,2020,0.2823243568407858,0.014350213396060163,37.0029560256437
38 - Nandini Layout,West,Mahalakshmi Layout,2020,0.2029296574911119,0.038770648697740405,38.960152502667945
22 - Bangarappa Nagara,West,Rajarajeshwarinagar,2020,0.28725935104617556,0.045402746997011606,36.57892164080842
5 - Yelahanka Satellite Town,North,Yelahanka,2020,0.35817321470764657,-0.034562840969436195,37.26857626497765
57 - Kuvempu Ward,West,Malleshwaram,2020,0.16607137844594982,0.06614818405181405,39.63398633293125
73 - Dr. Vishnuvardhan Ward,West,Govindraj Nagar,2020,0.24686528706105504,0.00739518369032592,38.018271260645456
107 - Dharmagiri Ward,West,Padmanabanagar,2020,0.2559553784310697,0.00884039466937717,38.069175583566484
27 - Srigandada Kaval,West,Rajarajeshwarinagar,2020,0.24697131572676362,0.08268769277545944,39.26042455986185
25 - Govindapura,North,Sarvagnanagar,2020,0.1346708704349588,0.10533264144191218,41.295084648795616
81 - Nayanda Halli,West,Govindraj Nagar,2020,0.17389256302299513,0.07868417246152427,39.79222130636352
10 - Abdul Kalam Nagar,South,Jayanagar,2020,0.1766105352042797,0.04908101811092899,37.59044133828714
49 - Shivanasamudra Ward,East,Mahadevapura,2020,0.22382640655748004,0.047601077871976656,35.73479740975886
62 - Devarachikkanahalli,South,Bommanahalli,2020,0.16066456431100362,0.07307763127214743,38.355885385402
17 - Kaggadasapura,Central,C.V. Raman Nagar,2020,0.2764163497025744,0.008440907328132274,36.49361741965055
43 - Bheereshwara Nagar,South,Bangalore South,2020,0.16857248064117297,0.04656276562016048,37.57359927087883
42 - RBI Layout,South,Bangalore South,2020,0.2697352120865093,0.004819030957960781,36.001143757108814
1 - Ramaswamy Palya,Central,Shivajinagar,2020,0.22908252275118252,0.049999926595458065,38.08859236641669
28 - Byrathi,East,Mahadevapura,2020,0.27879928294364303,0.05638323724215866,37.685106377686616
72 - Dasarahalli,North,Dasarahalli,2020,0.13525695085693304,0.07441629947475435,39.380521424007
69 - Agrahara Dasarahalli,West,Govindraj Nagar,2020,0.1924473783245124,0.050332399241628564,39.35782110955304
97 - Srinivasa Nagara,West,Basavanagudi,2020,0.14105812556129083,0.06257668528352282,38.41050253508668
16 - Amruthahalli,North,Byatarayanapura,2020,0.22504504142364218,0.04355463035986939,39.24484268059023
1 - Padmanabhanagara,South,Padmanabanagar,2020,0.19574868171369267,0.044812400940818606,37.82244253827349
86 - Vidyaranyanagara,West,Vijayanagar,2020,0.10765468387160577,0.08502168436988668,39.048944347112496
4 - Sampangirama Nagar,Central,Shivajinagar,2020,0.4429068780624621,-0.07995816492235922,36.10248860336544
8 - Halasuru,Central,Shivajinagar,2020,0.18105887343240254,0.05549786729694494,38.37523879555108
89 - Bapuji Nagara,West,Vijayanagar,2020,0.1554182287634245,0.07822454127036263,39.78814962519151
26 - Mallathahalli,West,Rajarajeshwarinagar,2020,0.22382251037881012,0.040637965129389664,38.99706552198814
69 - Bagalagunte,North,Dasarahalli,2020,0.243839251536194,0.04865991798708938,38.58291949553309
11 - Basavanapura,East,K.R. Pura,2020,0.17318893447197808,0.06837381552557256,38.24883071226447
41 - Nagapura,West,Mahalakshmi Layout,2020,0.24025347759928228,0.013748187012844856,37.86116376101725
79 - Nagarbhavi,West,Govindraj Nagar,2020,0.30286737392663443,0.02855110336303626,37.10659691345226
10 - Medahalli,East,K.R. Pura,2020,0.24337694566523704,0.030181099755714313,37.039470159493746
4 - Parvathi Nagar,West,Dasarahalli,2020,0.23108134011084774,0.052917275655677776,40.55984497743687
15 - Byadarahalli,West,Yeshwanthapura,2020,0.2762215203994487,0.06541575499820249,39.255158602158694
6 - Gowdanapalya,South,Padmanabanagar,2020,0.2426079056676796,0.02390709447376503,37.031565567965295
18 - Dooravaninagar,East,K.R. Pura,2020,0.25148623009503324,0.03311195535857478,38.03323007834548
29 - Hoodi,East,Mahadevapura,2020,0.2320591151503699,0.06765659327875086,33.563341580842554
60 - Prakash Nagara,West,Rajajinagar,2020,0.2859095961472831,-0.01162331646717786,38.00505001938363
58 - Dayanand Nagara,West,Rajajinagar,2020,0.18027297140057444,0.06071270586188045,39.42794192615316
55 - Puttenahalli,South,Bommanahalli,2020,0.1908090326964616,0.0371040148142211,36.88618870554328
23 - Rajarajeshwari Nagara,West,Rajarajeshwarinagar,2020,0.32099485198419453,-0.005058176399259128,36.26748470902327
33 - Dharmaraya Swamy Temple Ward,Central,Chickpet,2020,0.1986297738300694,0.054621430662634585,39.048914280559714
70 - Dr Rajkumar Ward,West,Govindraj Nagar,2020,0.2290845342474357,0.04354423544508051,39.51006751136202
19 - New Tavarekere,South,B.T.M Layout,2020,0.17752820073372746,0.0487099603601268,37.04710919906826
14 - Nagavarapalya,Central,C.V. Raman Nagar,2020,0.4140731711982684,-0.04758465427293034,36.27809306785717
49 - Aramane Nagara,West,Malleshwaram,2020,0.20404380964669297,0.042271749213514245,38.908266579371
50 - Sarvabhouma Nagar,South,Bangalore South,2020,0.18883683715354685,0.05211622103271316,37.82743970954772
32 - Banaswadi,North,Sarvagnanagar,2020,0.23074026957815938,0.029890904774344987,38.26395434989367
14 - Herohalli,West,Yeshwanthapura,2020,0.2139173060038348,0.030965432672436462,39.56684044755559
59 - Bandi Reddy Circle Ward,West,Rajajinagar,2020,0.1428832544445595,0.07600549166005821,39.93134353641515
82 - Attigupe,West,Vijayanagar,2020,0.22121032687623718,0.015529980378049568,38.752931806915896
