ward_name,Corporation,ac,year,NDVI_mean,NDBI_mean,LST_mean
24 - Agaram,Central,Shanthinagar,2023,0.4670023148734712,-0.03363390866658624,32.48955143151088
46 - Yamalur,East,Mahadevapura,2023,0.4097596080606807,-0.06627813954978808,31.5033113537816
2 - Akash Ward,North,Yelahanka,2023,0.30056871997291307,0.019559471177861425,22.27707122857373
21 - Kogilu,North,Byatarayanapura,2023,0.3062077708839151,0.04495732185479648,24.162099611030513
25 - Vinayaka Layout,West,Rajarajeshwarinagar,2023,0.27222771459821254,0.025951642384457862,31.965836291018952
16 - Ullal,West,Yeshwanthapura,2023,0.29557459471615033,0.05143694103057933,33.54393783389778
24 - Jnana Bharathi Ward,West,Rajarajeshwarinagar,2023,0.42231527035344607,-0.006626173864234752,31.284751888226314
46 - Cheluvadi Palya,Central,Chamrajapet,2023,0.23432402491319934,0.0815454763281998,36.501584418752685
43 - Devaraj Urs Ward,Central,Chickpet,2023,0.2345306848141402,0.04026731357333191,34.52141840365795
13 - Kodigehalli,North,Byatarayanapura,2023,0.22394640341715116,0.05554450898734795,24.90608452072244
16 - Kotthur,East,K.R. Pura,2023,0.36811629409467783,-0.005873206408474014,33.8793212234453
14 - K.R Pura,East,K.R. Pura,2023,0.3067299395960784,-0.015057170325933702,33.561444453082025
64 - Shivanagara,West,Rajajinagar,2023,0.18996300676510727,0.06401494833711124,25.80216264885174
36 - Beguru,South,Bangalore South,2023,0.23537356179679553,0.06202184531819822,33.246244527843466
5 - Hoysala Nagara East,East,K.R. Pura,2023,0.19267697617749535,0.06660748624356855,32.28740514913671
7 - Byrasandra,South,Jayanagar,2023,0.3312911040754605,-0.023479379004604336,32.80356043473896
15 - Ramamurthy Nagara,East,K.R. Pura,2023,0.2175974911346154,0.031031432385210493,33.94334822881719
5 - Shivajinagar,Central,Shivajinagar,2023,0.2368334192334326,0.059398816040400794,29.582879232329994
29 - Kormangala West,South,B.T.M Layout,2023,0.41414265224562863,-0.04117263394265038,33.48080414623853
41 - V.V Puram,Central,Chickpet,2023,0.22452050376684746,0.04157967284727198,34.371841277850265
8 - Tilak Nagara,South,Jayanagar,2023,0.30120484530389036,0.0012050248309277056,33.80034382528814
23 - Jogpalya,Central,Shanthinagar,2023,0.2444208273324879,0.034910684968601176,33.34074206112764
65 - Manjunath Nagara,West,Rajajinagar,2023,0.16265633131955312,0.07175770593651672,23.506998829237354
66 - Sane Guruvana Halli,West,Rajajinagar,2023,0.22779005381438236,0.03315501078222589,25.995363132019627
77 - Maruthi Mandira Ward,West,Govindraj Nagar,2023,0.20309621168223335,0.0413739545354732,33.58361651520414
34 - Subbayanapalya,North,Sarvagnanagar,2023,0.14426455325460244,0.09110274341209246,26.494794527103743
20 - Hemmigepura,West,Yeshwanthapura,2023,0.3776202357630342,0.040313729727711974,33.18375981102159
8 - T.C Palya,East,K.R. Pura,2023,0.3875295962556752,-0.04230497796039174,32.80975276616405
47 - Bellanduru,East,Mahadevapura,2023,0.19991518831735908,0.056031592111901514,33.250189262669714
71 - Thimmenahalli,West,Govindraj Nagar,2023,0.2216130831136982,0.04777187066909099,23.851626913042693
2 - Kadirenahalli,South,Padmanabanagar,2023,0.21729400549866074,0.04535111928353504,30.57351767411308
48 - Mathikere,West,Malleshwaram,2023,0.19892964535462657,0.05907018282165876,19.310989517079374
20 - Kodihalli,Central,C.V. Raman Nagar,2023,0.28162605835542615,0.01443069492087041,33.237243848449374
71 - Nele Maheshwaramma Temple Ward,North,Dasarahalli,2023,0.16281315928339457,0.07844536559663419,27.409513328395512
34 - Peenya,West,Rajarajeshwarinagar,2023,0.31184178162997733,0.030510222260114975,22.327528889533752
7 - Rajagopala Nagara,West,Dasarahalli,2023,0.19731372015189014,0.07832781979838346,16.39791084109904
93 - Avalahalli,West,Vijayanagar,2023,0.15373365439826103,0.08610614366513958,34.642866785249915
2 - Horamavu,East,K.R. Pura,2023,0.31948213931475,-0.008360010644213264,29.752761727014242
4 - Babusab Palya,East,K.R. Pura,2023,0.21599122854659175,0.04745095481847254,31.249536798327746
20 - A Narayanapura,East,K.R. Pura,2023,0.19731336384756232,0.0645983574398127,33.724640849899
27 - Vibhootipura,East,K.R. Pura,2023,0.3176330169661214,0.06716789291804494,33.449835357862675
39 - Gottigere,South,Bangalore South,2023,0.23710973691116366,0.08749689011794014,36.73789333658688
54 - Kengal Hanumanthaiah South,South,Bommanahalli,2023,0.1585115530414135,0.079541438744842,33.082063685060106
40 - Shakthi Nagar,North,Pulakeshinagar,2023,0.14398304414168253,0.09757637220071874,29.903604629638654
3 - Yelahanka Old Town,North,Yelahanka,2023,0.27618090108274385,0.03765176832178591,13.440014212419792
37 - Jeevanahalli,North,Sarvagnanagar,2023,0.3229033466820736,0.027866450804524386,28.817721357320437
55 - Bhuvaneshwari Nagar,Central,Gandhinagara,2023,0.12827657902579329,0.12247224352998998,33.033157092248786
1 - K Narayanapura,East,K.R. Pura,2023,0.2881484244621238,0.046854140756569025,32.49575318213518
88 - Sangolli Rayanna Ward,West,Vijayanagar,2023,0.12062638141990932,0.10718037575258058,32.83096388891545
87 - K.P Agrahara,West,Vijayanagar,2023,0.14742284667881983,0.0933681101876352,30.019609096572413
4 - Banashankari Temple Ward,South,Padmanabanagar,2023,0.1857111885035236,0.087444476854076,33.31817687321311
20 - Madiwala,South,B.T.M Layout,2023,0.14972440822829114,0.07773887743282235,34.65788466091084
39 - Hagaduru,East,Mahadevapura,2023,0.47373466617914095,-0.09733244198040715,30.70800822175947
13 - Krishnaiahnapalya,Central,C.V. Raman Nagar,2023,0.22455835371159333,0.04617472234985142,24.890522371977443
63 - Okalipuram,Central,Gandhinagara,2023,0.20862309669295176,0.0713207978715641,26.032773293573303
39 - Kaval Byrasandra,North,Pulakeshinagar,2023,0.273935608406196,0.04527285824306615,26.60384487417884
45 - Konanakunte,South,Bangalore South,2023,0.24265879880825952,0.07577947589975415,34.08201443549104
5 - Kane Muneshwara Ward,South,Padmanabanagar,2023,0.2995599450410571,-0.005007753997639276,31.657984637319938
58 - Nagashettyhalli,North,Hebbal,2023,0.24365345934269544,0.024749192603095386,24.653878815324692
9 - Hoysala Nagara Central,Central,C.V. Raman Nagar,2023,0.4078263653639047,-0.03293239734032788,32.872663980815574
42 - Aruna Asif Ali Ward,North,Pulakeshinagar,2023,0.15595413054021243,0.11608741263228205,24.93402706946563
52 - Talagattapura,South,Yeshwanthapura,2023,0.37557738283407843,0.04842239695486381,31.602707463056486
9 - N.A.L Layout,South,Jayanagar,2023,0.16963706149203625,0.07960033341000461,35.49039152653911
45 - Marathahalli,East,Mahadevapura,2023,0.18858790218142513,0.0709593796894562,34.67052046221059
33 - S.M Krishna Ward,East,Mahadevapura,2023,0.32051671006527527,0.0022205666540719773,32.57733544563193
9 - Srigandhanagar,West,Dasarahalli,2023,0.1707579343997419,0.09371557948152093,21.79676665130629
13 - Marenahalli South,South,Jayanagar,2023,0.2227157193138016,0.04062642990399605,32.950286584119304
44 - Harinagar,South,Bangalore South,2023,0.26312044831503,0.03742643559673523,33.28181950667024
102 - Hanumanthanagar,West,Basavanagudi,2023,0.18979345743058243,0.05562948698026132,34.36576858879217
41 - Periyar Nagar,North,Pulakeshinagar,2023,0.1283948721008024,0.1299809027507382,23.300658794692325
25 - L.B Shastri Nagar,East,K.R. Pura,2023,0.20158325357035825,0.06299356972554994,31.24377078012982
59 - Vijaya Bank Layout,South,Bommanahalli,2023,0.30518566125942936,0.019406888637950176,32.028719427788104
40 - Anjanapura,South,Bangalore South,2023,0.32216660249950574,0.06253712393943657,34.37536490960085
27 - Sri Lakshmi Devi Ward,South,B.T.M Layout,2023,0.17132350404373095,0.07944021138506983,34.162860146119066
35 - Kammanahalli,North,Sarvagnanagar,2023,0.16962019989953633,0.08189962554179692,23.824523315761738
21 - Chikka Adugodi,South,B.T.M Layout,2023,0.24976768254211779,0.04080993238534198,33.626128443353586
18 - Viswamanava Kuvempu Ward,South,B.T.M Layout,2023,0.2635578522152608,0.012519352998828996,32.893540215235326
54 - Subedarpalya,West,Malleshwaram,2023,0.1777671782083078,0.08200741802217909,17.553794989849532
51 - Subramanyapura,South,Bangalore South,2023,0.3415182597456253,0.023687922599459676,32.10736357549923
35 - Goraguntepalya,West,Rajarajeshwarinagar,2023,0.29647756460474906,0.026978170748013123,22.68725922347299
28 - Kottegepalya,West,Rajarajeshwarinagar,2023,0.3077284623664315,0.03468806013341733,26.50828538925408
3 - Nelagadaranahalli,West,Dasarahalli,2023,0.27772935752298245,0.054143251317544834,30.265998756500416
45 - Kushal Nagar,North,Pulakeshinagar,2023,0.11753839928694955,0.13395929363438697,28.33908517655364
29 - Austin Town,Central,Shanthinagar,2023,0.28708245942948735,0.03100857595782651,32.931089751648074
38 - Nandini Layout,West,Mahalakshmi Layout,2023,0.21894031460178026,0.04023591415429372,26.676353478051922
22 - Bangarappa Nagara,West,Rajarajeshwarinagar,2023,0.29894058470667556,0.040199120475801785,32.68825066790717
5 - Yelahanka Satellite Town,North,Yelahanka,2023,0.35804179084389626,-0.026570094089624123,12.492565687365985
