ward_name,Corporation,ac,year,NDVI_mean,NDBI_mean,LST_mean
24 - Agaram,Central,Shanthinagar,2024,0.38312713952362193,0.016146763382769987,36.19629857187993
46 - Yamalur,East,Mahadevapura,2024,0.3260356180316341,-0.029207982297427496,35.59923232512525
2 - Akash Ward,North,Yelahanka,2024,0.2383808121754488,0.03466304094106635,36.75616160047281
21 - Kogilu,North,Byatarayanapura,2024,0.24454922313397034,0.05980507336975375,37.191531463157695
25 - Vinayaka Layout,West,Rajarajeshwarinagar,2024,0.24376758461635484,0.02695415626952761,37.942535148025996
16 - Ullal,West,Yeshwanthapura,2024,0.24534157357045455,0.06864181911953632,40.2538081252189
24 - Jnana Bharathi Ward,West,Rajarajeshwarinagar,2024,0.3076384473072916,0.05320061569360266,37.99013847256808
46 - Cheluvadi Palya,Central,Chamrajapet,2024,0.2039849844391232,0.06190910084395039,38.56543450767655
43 - Devaraj Urs Ward,Central,Chickpet,2024,0.20916526793435114,0.03335325259781649,36.33103329082632
13 - Kodigehalli,North,Byatarayanapura,2024,0.19573924964395478,0.05401140208332189,37.05515001643601
16 - Kotthur,East,K.R. Pura,2024,0.3116891049583492,0.01020924581891061,36.83098121490205
14 - K.R Pura,East,K.R. Pura,2024,0.2579946818379612,-0.012938636030417892,36.1733451597492
64 - Shivanagara,West,Rajajinagar,2024,0.16931919929986375,0.051914190800852585,36.9311589701663
36 - Beguru,South,Bangalore South,2024,0.19904766988325834,0.05082752892609896,38.87188470463524
5 - Hoysala Nagara East,East,K.R. Pura,2024,0.15014097735803464,0.08214472630097401,37.40275688092318
7 - Byrasandra,South,Jayanagar,2024,0.3088080037218249,-0.028764683178486974,35.27899424092452
15 - Ramamurthy Nagara,East,K.R. Pura,2024,0.1776578406036894,0.05355520889820617,36.64558151689868
5 - Shivajinagar,Central,Shivajinagar,2024,0.21420675276466514,0.049031676585040436,36.846467657784274
29 - Kormangala West,South,B.T.M Layout,2024,0.37039861958537856,-0.03701208318210074,36.216858969376524
41 - V.V Puram,Central,Chickpet,2024,0.20730964564915091,0.028907985846331207,36.77341334167521
8 - Tilak Nagara,South,Jayanagar,2024,0.28109686236526915,-0.008498867344014829,35.86483670914371
23 - Jogpalya,Central,Shanthinagar,2024,0.22692429439750297,0.021820537726730704,35.615098384111896
65 - Manjunath Nagara,West,Rajajinagar,2024,0.1542423164660442,0.062360076636959305,36.720457548830794
66 - Sane Guruvana Halli,West,Rajajinagar,2024,0.21127994817660192,0.021732931047120055,36.99147203930036
77 - Maruthi Mandira Ward,West,Govindraj Nagar,2024,0.19406953947909883,0.022449018360671324,36.945281254643874
34 - Subbayanapalya,North,Sarvagnanagar,2024,0.1267952800753388,0.07915473173419706,37.00427935212543
20 - Hemmigepura,West,Yeshwanthapura,2024,0.27600027903433777,0.08376830297657713,40.56692104566914
8 - T.C Palya,East,K.R. Pura,2024,0.29377893593371557,0.00890168553036282,36.67819719239826
